"","window_size","variable","X10.","X90."
"315",4500,"DNA_right",0,0.0862222222222222
"316",4500,"LTR_left",0,0.333
"317",4500,"LTR_intra",0,0.0592219807571076
"318",4500,"LTR_right",0,0.333888888888889
"319",4500,"Unknown_left",0,0.0376666666666667
"320",4500,"Unknown_intra",0,0
"321",4500,"Unknown_right",0,0.0376666666666667
"322",4500,"LINE_left",0,0
"323",4500,"LINE_intra",0,0
"324",4500,"LINE_right",0,0
"325",4500,"MULE_left",0,0
"326",4500,"MULE_intra",0,0
"327",4500,"MULE_right",0,0
"328",4500,"Gypsy_left",0,0.124444444444444
"329",4500,"Gypsy_intra",0,0
"330",4500,"Gypsy_right",0,0.127266666666668
"331",4500,"Unknown_fam_left",0,0.0558888888888889
"332",4500,"Unknown_fam_intra",0,0.00126508607759052
"333",4500,"Unknown_fam_right",0,0.0564444444444444
"334",4500,"CMC_EnSpm_left",0,0
"335",4500,"CMC_EnSpm_intra",0,0
"336",4500,"CMC_EnSpm_right",0,0
"337",4500,"Copia_left",0,0.0363333333333333
"338",4500,"Copia_intra",0,0
"339",4500,"Copia_right",0,0.037
"340",4500,"LINE_fam_left",0,0
"341",4500,"LINE_fam_intra",0,0
"342",4500,"LINE_fam_right",0,0
"343",4500,"hAT_left",0,0
"344",4500,"hAT_intra",0,0
"345",4500,"hAT_right",0,0
"346",4500,"PIF_Harbinger_left",0,0
"347",4500,"PIF_Harbinger_intra",0,0
"348",4500,"PIF_Harbinger_right",0,0
"349",4500,"LTRUnknown_left",0,0.180277777777778
"350",4500,"LTRUnknown_intra",0,0.00571645117526256
"351",4500,"LTRUnknown_right",0,0.180111111111111
"352",5000,"DNA_left",0,0.0821
"353",5000,"DNA_intra",0,0.00121392289657025
"354",5000,"DNA_right",0,0.0833
"355",5000,"LTR_left",0,0.33495
"356",5000,"LTR_intra",0,0.0592219807571076
"357",5000,"LTR_right",0,0.3367
"358",5000,"Unknown_left",0,0.037
"359",5000,"Unknown_intra",0,0
"360",5000,"Unknown_right",0,0.0371
"361",5000,"LINE_left",0,0
"362",5000,"LINE_intra",0,0
"363",5000,"LINE_right",0,0
"364",5000,"MULE_left",0,0
"365",5000,"MULE_intra",0,0
"366",5000,"MULE_right",0,0
"367",5000,"Gypsy_left",0,0.128
"368",5000,"Gypsy_intra",0,0
"369",5000,"Gypsy_right",0,0.1299
"370",5000,"Unknown_fam_left",0,0.0549
"371",5000,"Unknown_fam_intra",0,0.00126508607759052
"372",5000,"Unknown_fam_right",0,0.0562
"373",5000,"CMC_EnSpm_left",0,0
"374",5000,"CMC_EnSpm_intra",0,0
"375",5000,"CMC_EnSpm_right",0,0
"376",5000,"Copia_left",0,0.0375
"377",5000,"Copia_intra",0,0
"378",5000,"Copia_right",0,0.0377
"379",5000,"LINE_fam_left",0,0
"380",5000,"LINE_fam_intra",0,0
"381",5000,"LINE_fam_right",0,0
"382",5000,"hAT_left",0,0
"383",5000,"hAT_intra",0,0
"384",5000,"hAT_right",0,0
"385",5000,"PIF_Harbinger_left",0,0
"386",5000,"PIF_Harbinger_intra",0,0
"387",5000,"PIF_Harbinger_right",0,0
"388",5000,"LTRUnknown_left",0,0.1838
"389",5000,"LTRUnknown_intra",0,0.00571645117526256
"390",5000,"LTRUnknown_right",0,0.1838
"391",5500,"DNA_left",0,0.0804545454545455
"392",5500,"DNA_intra",0,0.00121392289657025
"393",5500,"DNA_right",0,0.0816363636363636
"394",5500,"LTR_left",0,0.335909090909091
"395",5500,"LTR_intra",0,0.0592219807571076
"396",5500,"LTR_right",0,0.337545454545455
"397",5500,"Unknown_left",0,0.0362727272727273
"398",5500,"Unknown_intra",0,0
"399",5500,"Unknown_right",0,0.0365454545454545
"400",5500,"LINE_left",0,0
"401",5500,"LINE_intra",0,0
"402",5500,"LINE_right",0,0
